[10/07/2017 2:23:22] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[10/07/2017 2:27:24] --> GM: %~^ZeN^~% [268477825], Target: [Noblesse rb], Action: [admin_edit_npc], Params: [ 25325] 
[10/07/2017 2:27:35] --> GM: %~^ZeN^~% [268477825], Target: [Noblesse rb], Action: [admin_save_npc], Params: [ 25325 serverSideTitle 1] 
[10/07/2017 2:27:45] --> GM: %~^ZeN^~% [268477825], Target: [Noblesse rb], Action: [admin_save_npc], Params: [ 25325 title] 
[10/07/2017 2:27:49] --> GM: %~^ZeN^~% [268477825], Target: [Noblesse rb], Action: [admin_edit_npc], Params: [ 25325] 
[10/07/2017 2:28:03] --> GM: %~^ZeN^~% [268477825], Target: [Noblesse rb], Action: [admin_save_npc], Params: [ 25325 title PT Noblesse] 
[11/07/2017 0:12:39] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[11/07/2017 0:12:40] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_move_to], Params: [] 
[11/07/2017 0:12:45] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[11/07/2017 0:12:47] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[11/07/2017 0:12:48] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[11/07/2017 0:15:05] --> GM: %~^ZeN^~% [268477825], Target: [Wedding Manager], Action: [admin_admin], Params: [] 
[11/07/2017 0:15:07] --> GM: %~^ZeN^~% [268477825], Target: [Wedding Manager], Action: [admin_invis_menu], Params: [] 
[11/07/2017 0:17:12] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_gmspeed 4], Params: [] 
[11/07/2017 0:20:30] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_admin], Params: [] 
[11/07/2017 0:20:31] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_create_item], Params: [] 
[11/07/2017 0:20:37] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_create_item], Params: [ 4037 11111] 
[11/07/2017 0:30:02] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_gmspeed 0], Params: [] 
[11/07/2017 0:30:43] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_admin], Params: [] 
[11/07/2017 0:30:44] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_create_item], Params: [] 
[11/07/2017 0:30:48] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_admin], Params: [] 
[11/07/2017 0:30:50] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_admin2], Params: [] 
[11/07/2017 0:30:53] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_admin], Params: [] 
[11/07/2017 0:30:59] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_gmshop], Params: [] 
[11/07/2017 0:31:16] --> GM: %~^ZeN^~% [268477825], Target: [Gatekeeper], Action: [admin_admin], Params: [] 
[11/07/2017 0:32:12] --> GM: %~^ZeN^~% [268477825], Target: [%~^ZeN^~%], Action: [admin_admin], Params: [] 
[11/07/2017 0:36:27] --> GM: %~^ZeN^~% [268477825], Target: [Orc Soldier], Action: [admin_kill], Params: [] 
[11/07/2017 0:40:38] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[11/07/2017 0:41:58] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_admin], Params: [] 
[11/07/2017 0:42:04] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_enchant], Params: [] 
[11/07/2017 0:42:07] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_setew], Params: [ 16] 
[11/07/2017 0:48:13] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_admin], Params: [] 
[11/07/2017 0:48:18] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_res], Params: [] 
[11/07/2017 1:09:30] --> GM: %~^ZeN^~% [268477825], Target: [Gatekeeper], Action: [admin_server_restart 0], Params: [] 
[11/07/2017 1:13:42] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[11/07/2017 1:18:07] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[11/07/2017 1:18:08] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[11/07/2017 1:18:14] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[11/07/2017 1:18:56] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_show_skills], Params: [] 
[11/07/2017 1:18:58] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_skill_list], Params: [] 
[11/07/2017 1:19:11] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_add_skill], Params: [ 7029 4] 
[11/07/2017 1:36:51] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[11/07/2017 1:48:01] --> GM: %~^ZeN^~% [268477825], Target: [Zaken], Action: [admin_show_droplist], Params: [ 29022] 
[11/07/2017 1:48:02] --> GM: %~^ZeN^~% [268477825], Target: [Zaken], Action: [admin_close_window], Params: [] 
[11/07/2017 1:48:54] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_admin], Params: [] 
[11/07/2017 1:49:00] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_enchant], Params: [] 
[11/07/2017 1:49:01] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_setew], Params: [] 
[11/07/2017 1:49:09] --> GM: %~^ZeN^~% [268477825], Target: [Nigga], Action: [admin_setew], Params: [ 16] 
