[15/07/2017 3:44:19] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 3:44:41] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 3:44:47] --> GM: Nigga [268439890], Target: [Valakas], Action: [admin_kill_menu], Params: [] 
[15/07/2017 3:46:10] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 3:46:14] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_invis_menu], Params: [] 
[15/07/2017 3:46:35] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin4], Params: [] 
[15/07/2017 3:46:39] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin3], Params: [] 
[15/07/2017 3:46:40] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin2], Params: [] 
[15/07/2017 3:46:42] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
[15/07/2017 3:46:44] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_create_item], Params: [] 
[15/07/2017 3:46:50] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
[15/07/2017 3:47:02] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_enchant], Params: [] 
[15/07/2017 3:47:17] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setun], Params: [ 16] 
[15/07/2017 3:47:27] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteh], Params: [ 16] 
[15/07/2017 3:47:30] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seten], Params: [ 16] 
[15/07/2017 3:47:32] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setew], Params: [ 16] 
[15/07/2017 3:47:35] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setew], Params: [ 16] 
[15/07/2017 3:47:37] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setec], Params: [ 16] 
[15/07/2017 3:47:41] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setre], Params: [ 16] 
[15/07/2017 3:47:42] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setle], Params: [ 16] 
[15/07/2017 3:47:43] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteg], Params: [ 16] 
[15/07/2017 3:47:43] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setel], Params: [ 16] 
[15/07/2017 3:47:44] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteb], Params: [ 16] 
[15/07/2017 3:47:45] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setrf], Params: [ 16] 
[15/07/2017 3:47:46] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setlf], Params: [ 16] 
[15/07/2017 3:48:31] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_admin], Params: [] 
[15/07/2017 3:48:33] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_invul], Params: [] 
[15/07/2017 3:52:56] --> GM: Nigga [268439890], Target: [Buffer], Action: [admin_admin], Params: [] 
[15/07/2017 3:52:59] --> GM: Nigga [268439890], Target: [Buffer], Action: [admin_admin2], Params: [] 
[15/07/2017 3:53:01] --> GM: Nigga [268439890], Target: [Buffer], Action: [admin_admin3], Params: [] 
[15/07/2017 3:53:02] --> GM: Nigga [268439890], Target: [Buffer], Action: [admin_admin4], Params: [] 
[15/07/2017 3:53:04] --> GM: Nigga [268439890], Target: [Buffer], Action: [admin_admin], Params: [] 
[15/07/2017 3:53:10] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_create_item], Params: [] 
[15/07/2017 3:53:13] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
[15/07/2017 3:53:17] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_enchant], Params: [] 
[15/07/2017 3:53:18] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteh], Params: [] 
[15/07/2017 3:53:24] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteh], Params: [ 16] 
[15/07/2017 3:53:25] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_setec], Params: [ 16] 
[15/07/2017 3:53:27] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteg], Params: [ 16] 
[15/07/2017 3:53:28] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteb], Params: [ 16] 
[15/07/2017 3:54:37] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_admin], Params: [] 
[15/07/2017 3:54:46] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_invul], Params: [] 
[15/07/2017 3:54:53] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
[15/07/2017 3:54:55] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_enchant], Params: [] 
[15/07/2017 3:55:00] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_seteg], Params: [ 16] 
[15/07/2017 3:55:24] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_admin], Params: [] 
[15/07/2017 3:55:27] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_invul], Params: [] 
[15/07/2017 3:55:34] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_admin], Params: [] 
[15/07/2017 3:58:20] --> GM: Nigga [268439890], Target: [Crixus], Action: [admin_admin], Params: [] 
[15/07/2017 3:58:25] --> GM: Nigga [268439890], Target: [Crixus], Action: [admin_kill_menu], Params: [] 
[15/07/2017 3:59:04] --> GM: Nigga [268439890], Target: [Spartakus], Action: [admin_admin], Params: [] 
[15/07/2017 3:59:07] --> GM: Nigga [268439890], Target: [Spartakus], Action: [admin_kill_menu], Params: [] 
[15/07/2017 3:59:31] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 4:00:02] --> GM: Nigga [268439890], Target: [Oenomaus], Action: [admin_admin], Params: [] 
[15/07/2017 4:00:03] --> GM: Nigga [268439890], Target: [Oenomaus], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:00:31] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 4:00:37] --> GM: Nigga [268439890], Target: [Noblesse rb], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:17] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 4:01:19] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:22] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:24] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:25] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:26] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:26] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:27] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:27] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:28] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:28] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:44] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:45] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:02:04] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:02:05] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:02:15] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill], Params: [] 
