[17/06/2017 0:42:59] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_add_exp_sp_to_character], Params: [] 
[17/06/2017 0:43:03] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_set_level], Params: [ 80] 
[17/06/2017 0:43:06] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setclass], Params: [] 
[17/06/2017 0:43:22] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setclass], Params: [ 104] 
[17/06/2017 0:43:52] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_show_skills], Params: [] 
[17/06/2017 0:43:54] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_skill_list], Params: [] 
[17/06/2017 0:43:58] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_add_skill], Params: [ 1225 2] 
[17/06/2017 0:44:17] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 0:44:18] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 0:44:26] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 1458 111] 
[17/06/2017 0:58:10] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[17/06/2017 0:58:12] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2017 0:58:13] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_create_item], Params: [] 
[17/06/2017 0:58:18] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_create_item], Params: [ 57 7777777777] 
[17/06/2017 0:58:22] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 0:58:23] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 0:58:29] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 57 66666666666] 
[17/06/2017 0:58:33] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 0:58:34] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 0:58:40] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 57 66666666] 
[17/06/2017 4:28:32] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_kill dddddd], Params: [] 
[17/06/2017 4:28:44] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_kill ddddd], Params: [] 
[17/06/2017 4:29:02] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_kill ddddd], Params: [] 
[17/06/2017 4:39:50] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2017 4:39:52] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [] 
[17/06/2017 4:40:00] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2017 4:40:05] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns/floran.htm] 
[17/06/2017 4:40:06] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [ 17144 170156 -3502] 
[17/06/2017 4:56:03] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2017 4:56:04] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_create_item], Params: [] 
[17/06/2017 4:56:10] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 893 1] 
[17/06/2017 19:05:42] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2017 19:05:44] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_create_item], Params: [] 
[17/06/2017 19:05:50] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 5643 1] 
[17/06/2017 19:11:31] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:11:32] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:11:39] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 3951 10] 
[17/06/2017 19:12:48] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:12:49] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:12:54] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 9008 5] 
[17/06/2017 19:14:08] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:14:09] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:14:13] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 2005 4] 
[17/06/2017 19:14:31] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:14:32] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:14:36] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 728 50] 
[17/06/2017 19:16:55] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:16:56] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:17:01] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 6342 2] 
[17/06/2017 19:17:12] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:17:13] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:17:20] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 862 2] 
[17/06/2017 19:18:24] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:18:25] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:18:29] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 924 1] 
[17/06/2017 19:21:06] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:21:07] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:21:11] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 5636 1] 
[17/06/2017 19:22:17] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
[17/06/2017 19:22:18] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 19:22:21] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 1466 1] 
[17/06/2017 19:24:17] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_admin], Params: [] 
